iter	Logloss
0	0.3819467379
1	0.2328743213
2	0.1420941868
3	0.09195927621
4	0.05883566575
5	0.03970538465
6	0.02720905421
7	0.01956939805
8	0.01466699451
9	0.01150829421
10	0.009398184683
11	0.007632398341
12	0.006529867328
13	0.00572213243
14	0.004924678554
15	0.004346449563
16	0.003833591231
17	0.003468253433
18	0.003158395023
19	0.002845144397
20	0.002549380923
21	0.002358272682
22	0.002156258719
23	0.002004502789
24	0.001830866175
25	0.00170697868
26	0.001607874181
27	0.00152981972
28	0.001449918049
29	0.001363022236
30	0.001241515685
31	0.001154813167
32	0.001082940374
33	0.001013907619
34	0.0009686164249
35	0.000923265952
36	0.0008754623254
37	0.000839553724
38	0.0007970851971
39	0.0007658437429
40	0.0007143039392
41	0.000694235979
42	0.0006657741541
43	0.0006390557313
44	0.0006121062787
45	0.0005907731468
46	0.0005689767709
47	0.0005426877153
48	0.0005271355734
49	0.0005109546069
50	0.0004999067958
51	0.000484701497
52	0.0004695348866
53	0.000455831854
54	0.0004439769519
55	0.0004246913183
56	0.0004157657906
57	0.0004069798229
58	0.0003970153245
59	0.0003905672632
60	0.0003846138423
61	0.0003754317057
62	0.0003646710004
63	0.000356319249
64	0.0003501724705
65	0.0003418829626
66	0.0003340070487
67	0.0003253116513
68	0.0003170785512
69	0.0003118505318
70	0.0003062773888
71	0.0003014309538
72	0.0002966417299
73	0.000291226004
74	0.0002869475125
75	0.0002828858242
76	0.0002787393771
77	0.0002718515402
78	0.0002682565867
79	0.0002651253469
80	0.0002617539041
81	0.0002588630711
82	0.0002561567429
83	0.0002533968547
84	0.0002507823783
85	0.0002482952612
86	0.0002457614286
87	0.0002427524433
88	0.0002395500098
89	0.0002372902933
90	0.0002345652583
91	0.000232426491
92	0.000230245815
93	0.0002282188883
94	0.0002256946852
95	0.0002238224172
96	0.0002219077553
97	0.0002200064722
98	0.0002181968601
99	0.0002159330809
100	0.0002142002746
101	0.0002118685525
102	0.000209570401
103	0.0002078366785
104	0.0002058096679
105	0.0002035800487
106	0.0002015665231
107	0.0001996736697
108	0.0001975615931
109	0.000195637956
110	0.0001937257482
111	0.0001917303733
112	0.0001898741248
113	0.0001878862145
114	0.0001861636474
115	0.0001844361943
116	0.000182818886
117	0.00018120772
118	0.0001796854498
119	0.0001781255321
120	0.0001766669928
121	0.0001751150953
122	0.0001735927001
123	0.0001721295891
124	0.0001706690896
125	0.0001692676935
126	0.0001678932147
127	0.0001663589046
128	0.0001650454233
129	0.0001638525303
130	0.000162590243
131	0.0001612993153
132	0.0001599730866
133	0.000158822588
134	0.0001576485133
135	0.0001565391856
136	0.0001553615663
137	0.0001542007538
138	0.0001530560511
139	0.0001520120918
140	0.0001509047376
141	0.0001497985879
142	0.0001487626043
143	0.0001477364673
144	0.0001466949119
145	0.0001457678931
146	0.0001447356871
147	0.0001437592077
148	0.0001428126122
149	0.0001419196235
150	0.0001410578299
151	0.000140044118
152	0.0001390480172
153	0.0001379868953
154	0.0001370743009
155	0.0001361340908
156	0.0001352380065
157	0.0001342306384
